"","kudos_count","kilojoules","average_heartrate","energy_per_hr"
"194",0,1445.5,124.3,11.6291230893001
"195",0,1409.2,141.3,9.97310686482661
"196",5,1961.7,137.6,14.2565406976744
"197",0,728.2,153.7,4.73780091086532
"198",0,140.2,189.2,0.741014799154334
"199",4,3865.3,127.5,30.3160784313725
"200",0,121.5,127.1,0.955940204563336
"201",12,496,147.9,3.35361730899256
"202",2,594.4,147.6,4.02710027100271
"203",0,92.5,108.1,0.855689176688252
"204",18,473.8,180.4,2.62638580931264
"205",5,1886,142.7,13.2165381920112
"206",2,867.8,152.5,5.69049180327869
"207",0,1078.1,148.9,7.24042981867025
"208",3,1022.5,132.4,7.72280966767372
"209",2,1253.3,129.6,9.67052469135803
"210",1,335.2,148,2.26486486486486
"211",1,542.5,162.6,3.33640836408364
"212",16,803.8,134.1,5.99403430275914
"213",6,1123.9,154.4,7.27914507772021
"214",0,635.3,148,4.29256756756757
"215",0,320.4,113.6,2.82042253521127
"216",0,2153.3,122.9,17.5207485760781
"217",11,21,128,0.1640625
"218",9,1179.5,142.8,8.25980392156863
"219",3,1217.3,132.4,9.1941087613293
"220",46,3016,143.3,21.0467550593161
"221",3,202,89.7,2.25195094760312
"222",2,1952.5,145,13.4655172413793
"223",31,1284.4,117.2,10.9590443686007
"224",1,694.4,148.5,4.67609427609428
"225",0,0.1,116,0.000862068965517241
"226",7,495.9,145.3,3.41293874741913
"227",0,891.2,99.7,8.93881644934804
"228",12,1168.2,148.2,7.88259109311741
"229",0,1559.1,149.3,10.4427327528466
"230",0,351.6,138.2,2.54413892908828
"231",9,700.4,150.7,4.64764432647644
"232",0,161.4,132.2,1.22087745839637
"233",0,92.4,116.2,0.795180722891566
"234",0,80.6,113.8,0.708260105448155
"235",0,828.1,138.4,5.98338150289017
"236",3,846.9,137.9,6.14140681653372
"237",3,25.1,96.8,0.259297520661157
"238",5,531,137.2,3.87026239067055
"239",1,1113.8,145,7.68137931034483
"240",2,460.8,113.4,4.06349206349206
"241",4,441,120.3,3.66583541147132
"242",12,899.9,151.3,5.9477858559154
"243",0,364.8,159.1,2.2928975487115
"244",1,929.4,159.5,5.8269592476489
"245",15,1688.9,147.7,11.4346648612051
"246",0,209.4,133.4,1.56971514242879
"247",0,874.5,136.8,6.39254385964912
"248",0,336.5,146.3,2.30006835269993
"249",3,1833.2,148.1,12.3781228899392
"250",1,1271.9,166,7.66204819277108
"251",0,344.2,108.1,3.1840888066605
"252",0,493.4,144.2,3.42163661581137
"253",0,66.7,148.4,0.449460916442048
"254",0,5.6,68,0.0823529411764706
"255",0,2041.7,146.9,13.8985704560926
"256",1,500.1,125.5,3.98486055776892
"257",0,478.8,129.6,3.69444444444444
"258",0,1754.7,160.8,10.9123134328358
"259",4,1006.2,110.2,9.13067150635209
"260",0,347,154.7,2.24305106658048
"261",1,206.8,122.2,1.69230769230769
"262",5,3464.6,141.5,24.4848056537102
"263",0,784.9,157.2,4.99300254452926
"264",0,1344.1,118.5,11.3426160337553
